a52dec 0.8.0-2
python-pam 2.0.2-2
python-pexpect 4.9.0-1
python-pillow 10.1.0-2
python-pip 23.3.2-1
python-platformdirs 4.1.0-1
python-ply 3.11-12
python-psutil 5.9.7-1
python-ptyprocess 0.7.0-5
python-pycparser 2.21-5
python-pydantic 2.5.3-1
python-pydantic-core 1:2.14.6-1
python-pyinotify 0.9.6-12
python-pyrate-limiter 3.1.1-1
python-pytz 2023.3.post1-1
python-pyudev 0.24.1-1
python-requests 2.31.0-1
python-setproctitle 1.3.3-1
python-setuptools 1:69.0.3-1
python-six 1.16.0-8
python-soupsieve 2.5-1
python-tinycss2 1.2.1-2
python-tomli 2.0.1-3
python-toolz 0.12.0-3
python-trove-classifiers 2023.11.29-1
python-typing_extensions 4.9.0-1
python-urllib3 1.26.18-1
python-validate-pyproject 0.13-1
python-webencodings 0.5.1-10
python-wheel 0.42.0-1
python-xapp 2.4.1-1
python-yaml 6.0.1-2
qbittorrent 4.6.2-2
qca-qt5 2.3.7-2
qpdf 11.7.0-1
qrencode 4.1.1-2
qt5-base 5.15.11+kde+r148-1
qt5-declarative 5.15.11+kde+r32-1
qt5-imageformats 5.15.11+kde+r12-1
qt5-multimedia 5.15.11+kde+r2-1
qt5-speech 5.15.11+kde+r1-1
qt5-styleplugins 5.0.0.20170311-39
qt5-svg 5.15.11+kde+r6-1
qt5-translations 5.15.11-1
qt5-wayland 5.15.11+kde+r60-1
qt5-x11extras 5.15.11-1
qt6-base 6.6.1-3
qt6-svg 6.6.1-1.1
qt6-translations 6.6.1-1.2
raptor 2.0.16-4
rav1e 0.6.6-3
raw-thumbnailer 0.2.1-7
re2 1:20231101-1
readline 8.2.007-1
reiserfsprogs 3.6.27-4
rhash 1.4.4-1
ripgrep 14.0.3-1
rofi 1.7.5-2
rpcbind 1.2.6-3
rpcbind-runit 20180429-4
rsync 3.2.7-6
rsync-runit 20180226-3
rtkit 0.13-2.1
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 3.3.0-1
ruby 3.0.6-1
ruby-abbrev 0.1.0-4
ruby-base64 0.1.1-4
ruby-benchmark 0.2.0-4
ruby-bigdecimal 3.1.2-4
ruby-bundledgems 3.0.6-1
ruby-bundler 2.5.4-1
ruby-cgi 0.3.6-1
ruby-csv 3.2.5-4
ruby-date 3.2.2-4
ruby-delegate 0.2.0-4
ruby-did_you_mean 1.6.1-4
ruby-digest 3.1.1-1
ruby-drb 2.1.0-5
ruby-english 0.7.1-5
ruby-erb 4.0.2-2
ruby-etc 1.3.0-6
ruby-fcntl 1.0.1-4
ruby-fiddle 1.1.0-4
ruby-fileutils 1.6.0-4
ruby-find 0.1.1-4
ruby-forwardable 1.3.2-6
ruby-getoptlong 0.1.1-3
ruby-io-console 0.5.11-3
ruby-io-nonblock 0.1.0-3
ruby-io-wait 0.2.3-4
ruby-ipaddr 1.2.4-3
ruby-irb 1.4.2-1
ruby-json 2.7.1-1
ruby-logger 1.5.1-3
ruby-minitest 5.20.0-1
ruby-mutex_m 0.1.1-3
ruby-net-http 0.2.2-2
ruby-open-uri 0.2.0-3.1
ruby-power_assert 2.0.3-1
ruby-psych 4.0.6-1
ruby-racc 1.6.0-3
ruby-rake 13.0.6-1
ruby-rdoc 6.4.0-4
ruby-reline 0.3.1-2
ruby-rexml 3.2.6-1
ruby-ruby2_keywords 0.0.5-1
ruby-stdlib 3.0.6-1
ruby-stringio 3.0.2-4
ruby-test-unit 3.6.1-1
ruby-time 0.2.0-4
ruby-tmpdir 0.1.2-3
ruby-uri 0.12.1-1
rubygems 3.3.25-1
run-parts 5.5-1
runit 2.1.2-31
runit-rc 20231101-3
rust 1:1.75.0-1
s-nail 14.9.24-2
samba 4.19.3-2
sane 1.2.1-5
sbc 2.0-1
scrot 1.10-1
sdl12-compat 1.2.68-1
sdl2 2.28.5-1
sdl_net 1.2.8-5
sdl_sound 1.0.3-11
sed 4.9-3
serd 0.32.0-1
shaderc 2023.7-2
shadow 4.14.2-1
shared-mime-info 2.4-1
slang 2.3.3-2
smbclient 4.19.3-2
snappy 1.1.10-1
solid5 5.113.0-1
sonnet5 5.113.0-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
spandsp 0.0.6-5
speedtest-cli 2.1.3-7
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2023.5-1
sqlite 3.44.2-2
squashfs-tools 4.6.1-1
sratom 0.6.16-1
srt 1.5.3-1
startup-notification 0.12-8
steam 1.0.0.78-2
sudo 1.9.15.p4-1
suitesparse 7.3.1-1
svt-av1 1.8.0-1
svt-hevc 1.5.1-2
sysfsutils 2.1.1-1
syslog-ng 4.4.0-4
syslog-ng-runit 20180226-4
taglib 1.13.1-1
talloc 2.4.1-1
tar 1.35-2
tcl 8.6.13-1
tdb 1.4.9-1
teams 1.5.00.23861-1
terminus-font 4.49.1-6
tesseract 5.3.3-2
tesseract-data-eng 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
tevent 1:0.15.0-1
texinfo 7.1-2
thin-provisioning-tools 1.0.9-2
timezonemap 0.4.5.2-1
tk 8.6.13-2
tpm2-tss 4.0.1-1
tracker3 3.6.0-2
tree-sitter 0.20.10-2
tslib 1.22-1
ttf-droid 20121017-10
ttf-fira-code 6.2-2
ttf-inconsolata 1:3.000-3
ttf-liberation 2.1.5-1
ttf-nerd-fonts-symbols 3.1.1-1
ttf-nerd-fonts-symbols-common 3.1.1-1
ttf-roboto 2.138-4
ttf-roboto-mono 3.000-2
ttf-wps-fonts 1.0-5
tumbler 4.18.2-1
twolame 0.4.0-3
tzdata 2023d-1
uchardet 0.0.8-2
udev 255.2-1
udisks2 2.10.1-2
unibilium 2.1.1-1
unrar 1:6.2.12-1
unzip 6.0-20
upower 1.90.2-1
usbmuxd 1.1.1-3.1
usbutils 017-1
util-linux 2.39.3-1
util-linux-libs 2.39.3-1
v4l-utils 1.26.1-1
valgrind 3.22.0-1
vencord-desktop-git r250.1429815-1
vid.stab 1.1.1-1
vinegar 1.6.0-1
visual-studio-code-bin 1.85.1-1
vkd3d 1.10-1
vmaf 3.0.0-1
volume_key 0.3.12-8
vulkan-headers 1:1.3.274-1
vulkan-icd-loader 1.3.274-1
vulkan-intel 1:23.3.2-2
vulkan-radeon 1:23.3.2-2
vulkan-swrast 1:23.3.2-2
vulkan-tools 1.3.269-1
wavpack 5.6.0-1
wayland 1.22.0-1
webkit2gtk 2.42.4-1
webkit2gtk-4.1 2.42.4-1
webp-pixbuf-loader 0.2.5-1
webrtc-audio-processing 0.3.1-4.1
webrtc-audio-processing-1 1.3-2
wget 1.21.4-1
which 2.21-6
wildmidi 0.4.5-2
wine-staging 8.21-1
winetricks 20230212-2
wireless-regdb 2023.09.01-1
wireplumber 0.4.17-1
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpa_supplicant-runit 20180429-3
wpebackend-fdo 1.14.2-1
wps-office 11.1.0.11704-1
wps-office-mime 11.1.0.11704-1
wrk 4.2.0-2
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xapp 2.8.1-1
xautomation 1.09-5
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2.1
xclip 0.13-4
xcursor-premium 0.3-10
xcursor-vanilla-dmz 0.4.5-2
xdg-dbus-proxy 0.1.5-1
xdg-desktop-portal 1.18.2-1
xdg-desktop-portal-gnome 45.1-1
xdg-desktop-portal-gtk 1.15.1-1
xdg-desktop-portal-xapp 1.0.4-1
xdg-user-dirs 0.18-1
xdg-utils 1.2.0r25+g0f49cf5-1
xdotool 3.20211022.1-1
xf86-input-libinput 1.4.0-1
xf86-input-vmmouse 13.2.0-1
xf86-video-amdgpu 23.0.0-1
xf86-video-ati 1:22.0.0-1
xf86-video-dummy 0.4.1-1
xf86-video-fbdev 0.5.0-3
xf86-video-intel 1:2.99.917+923+gb74b67f0-1
xf86-video-nouveau 1.0.17-2
xf86-video-openchrome 0.6.0.r798.g0c75274-2
xf86-video-sisusb 0.9.7-4
xf86-video-vesa 2.6.0-1
xf86-video-vmware 13.4.0-1
xf86-video-voodoo 1.2.6-1
xfconf 4.18.3-1
xfsprogs 6.5.0-2
xkeyboard-config 2.40-1
xorg-fonts-encodings 1.0.7-1
xorg-mkfontscale 1.2.2-1.1
xorg-server 21.1.10-1
xorg-server-common 21.1.10-1
xorg-setxkbmap 1.3.4-1
xorg-xauth 1.1.2-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xset 1.2.5-1
xorg-xwayland 23.2.3-1
xorgproto 2023.2-1
xreader 4.0.0-1
xvidcore 1.3.7-2.1
xxhash 0.8.2-1
xz 5.4.5-1
z3 4.12.2-1
zbar 0.23.90-3
zenity 4.0.0-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.4.2-2
zlib 1:1.3-2
zsh 5.9-4
zstd 1.5.5-1
zvbi 0.2.42-1
zxing-cpp 2.2.1-1
